DATE,DEXBZUS
2012-04-30,1.8930
2012-05-01,1.9037
2012-05-02,1.9151
2012-05-03,1.9275
2012-05-04,1.9258
2012-05-07,1.9240
2012-05-08,1.9365
2012-05-09,1.9560
2012-05-10,1.9545
2012-05-11,1.9404
2012-05-14,1.9884
2012-05-15,1.9935
2012-05-16,2.0000
2012-05-17,1.9940
2012-05-18,2.0190
2012-05-21,2.0455
2012-05-22,2.0460
2012-05-23,2.0675
2012-05-24,2.0306
2012-05-25,1.9917
2012-05-28,.
2012-05-29,1.9973
2012-05-30,2.0095
2012-05-31,2.0160
2012-06-01,2.0325
2012-06-04,2.0439
2012-06-05,2.0299
2012-06-06,2.0170
2012-06-07,2.0325
2012-06-08,2.0257
2012-06-11,2.0369
2012-06-12,2.0586
2012-06-13,2.0628
2012-06-14,2.0724
2012-06-15,2.0397
2012-06-18,2.0660
2012-06-19,2.0352
2012-06-20,2.0306
2012-06-21,2.0446
2012-06-22,2.0573
2012-06-25,2.0745
2012-06-26,2.0735
2012-06-27,2.0791
2012-06-28,2.0904
2012-06-29,2.0090
2012-07-02,1.9887
2012-07-03,1.9968
2012-07-04,.
2012-07-05,2.0271
2012-07-06,2.0369
2012-07-09,2.0311
2012-07-10,2.0343
2012-07-11,2.0367
2012-07-12,2.0477
2012-07-13,2.0376
2012-07-16,2.0391
2012-07-17,2.0327
2012-07-18,2.0214
2012-07-19,2.0212
2012-07-20,2.0217
2012-07-23,2.0393
2012-07-24,2.0428
2012-07-25,2.0381
2012-07-26,2.0268
2012-07-27,2.0138
2012-07-30,2.0354
2012-07-31,2.0514
2012-08-01,2.0384
2012-08-02,2.0514
2012-08-03,2.0237
2012-08-06,2.0260
2012-08-07,2.0270
2012-08-08,2.0228
2012-08-09,2.0175
2012-08-10,2.0150
2012-08-13,2.0279
2012-08-14,2.0256
2012-08-15,2.0230
2012-08-16,2.0203
2012-08-17,2.0176
2012-08-20,2.0196
2012-08-21,2.0171
2012-08-22,2.0206
2012-08-23,2.0242
2012-08-24,2.0213
2012-08-27,2.0301
2012-08-28,2.0492
2012-08-29,2.0480
2012-08-30,2.0463
2012-08-31,2.0301
2012-09-03,.
2012-09-04,2.0420
2012-09-05,2.0385
2012-09-06,2.0330
2012-09-07,2.0274
2012-09-10,2.0225
2012-09-11,2.0209
2012-09-12,2.0191
2012-09-13,2.0250
2012-09-14,2.0172
2012-09-17,2.0300
2012-09-18,2.0251
2012-09-19,2.0218
2012-09-20,2.0237
2012-09-21,2.0230
2012-09-24,2.0245
2012-09-25,2.0244
2012-09-26,2.0338
2012-09-27,2.0307
2012-09-28,2.0277
2012-10-01,2.0254
2012-10-02,2.0260
2012-10-03,2.0244
2012-10-04,2.0210
2012-10-05,2.0273
2012-10-08,.
2012-10-09,2.0354
2012-10-10,2.0399
2012-10-11,2.0360
2012-10-12,2.0436
2012-10-15,2.0355
2012-10-16,2.0326
2012-10-17,2.0323
2012-10-18,2.0280
2012-10-19,2.0269
2012-10-22,2.0240
2012-10-23,2.0284
2012-10-24,2.0267
2012-10-25,2.0254
2012-10-26,2.0250
2012-10-29,2.0295
2012-10-30,2.0310
2012-10-31,2.0298
2012-11-01,2.0304
2012-11-02,2.0304
2012-11-05,2.0344
2012-11-06,2.0330
2012-11-07,2.0335
2012-11-08,2.0397
2012-11-09,2.0475
2012-11-12,.
2012-11-13,2.0638
2012-11-14,2.0680
2012-11-15,2.0663
2012-11-16,2.0781
2012-11-19,2.0725
2012-11-20,2.0800
2012-11-21,2.0962
2012-11-22,.
2012-11-23,2.0872
2012-11-26,2.0838
2012-11-27,2.0750
2012-11-28,2.0900
2012-11-29,2.1028
2012-11-30,2.1118
2012-12-03,2.1141
2012-12-04,2.1133
2012-12-05,2.1005
2012-12-06,2.0790
2012-12-07,2.0800
2012-12-10,2.0815
2012-12-11,2.0785
2012-12-12,2.0791
2012-12-13,2.0790
2012-12-14,2.0827
2012-12-17,2.0930
2012-12-18,2.0852
2012-12-19,2.0747
2012-12-20,2.0596
2012-12-21,2.0767
2012-12-24,2.0790
2012-12-25,.
2012-12-26,2.0495
2012-12-27,2.0517
2012-12-28,2.0445
2012-12-31,2.0476
2013-01-01,.
2013-01-02,2.0425
2013-01-03,2.0360
2013-01-04,2.0350
2013-01-07,2.0260
2013-01-08,2.0393
2013-01-09,2.0384
2013-01-10,2.0325
2013-01-11,2.0375
2013-01-14,2.0301
2013-01-15,2.0375
2013-01-16,2.0405
2013-01-17,2.0425
2013-01-18,2.0441
2013-01-21,.
2013-01-22,2.0478
2013-01-23,2.0375
2013-01-24,2.0285
2013-01-25,2.0290
2013-01-28,2.0028
2013-01-29,1.9893
2013-01-30,1.9860
2013-01-31,1.9875
2013-02-01,1.9810
2013-02-04,1.9913
2013-02-05,1.9840
2013-02-06,1.9847
2013-02-07,1.9708
2013-02-08,1.9725
2013-02-11,1.9724
2013-02-12,1.9680
2013-02-13,1.9663
2013-02-14,1.9590
2013-02-15,1.9615
2013-02-18,.
2013-02-19,1.9564
2013-02-20,1.9605
2013-02-21,1.9727
2013-02-22,1.9710
2013-02-25,1.9688
2013-02-26,1.9905
2013-02-27,1.9776
2013-02-28,1.9767
2013-03-01,1.9829
2013-03-04,1.9798
2013-03-05,1.9654
2013-03-06,1.9667
2013-03-07,1.9595
2013-03-08,1.9480
2013-03-11,1.9593
2013-03-12,1.9620
2013-03-13,1.9615
2013-03-14,1.9665
2013-03-15,1.9755
2013-03-18,1.9865
2013-03-19,1.9874
2013-03-20,1.9865
2013-03-21,1.9934
2013-03-22,2.0170
2013-03-25,2.0136
2013-03-26,2.0067
2013-03-27,2.0133
2013-03-28,2.0160
2013-03-29,2.0210
