DATE,CCUSSP02ILM650N
2012-02-01,3.766
2012-03-01,3.715
2012-04-01,3.75
2012-05-01,3.881
2012-06-01,3.923
2012-07-01,3.997
2012-08-01,4.028
2012-09-01,3.912
2012-10-01,3.878
2012-11-01,3.81
2012-12-01,3.733
2013-01-01,3.728
2013-02-01,3.708
2013-03-01,3.648
2013-04-01,3.594
2013-05-01,3.683
2013-06-01,3.618
2013-07-01,3.566
2013-08-01,3.614
2013-09-01,3.537
2013-10-01,3.529
2013-11-01,3.523
2013-12-01,3.471
2014-01-01,3.498
2014-02-01,3.496
2014-03-01,3.487
2014-04-01,3.466
2014-05-01,3.475
2014-06-01,3.438
2014-07-01,3.429
2014-08-01,3.568
2014-09-01,3.695
2014-10-01,3.784
2014-11-01,3.889
2014-12-01,3.889
2015-01-01,3.924
2015-02-01,3.966
2015-03-01,3.98
2015-04-01,3.861
2015-05-01,3.876
2015-06-01,3.769
2015-07-01,3.783
2015-08-01,3.93
2015-09-01,3.923
2015-10-01,3.867
2015-11-01,3.877
2015-12-01,3.902
2016-01-01,3.951
2016-02-01,3.91
2016-03-01,3.766
2016-04-01,3.761
2016-05-01,3.85
2016-06-01,3.846
2016-07-01,3.828
2016-08-01,3.786
2016-09-01,3.758
2016-10-01,3.849
2016-11-01,3.839
2016-12-01,3.845
2017-01-01,3.769
2017-02-01,3.659
2017-03-01,3.632
2017-04-01,3.619
2017-05-01,3.561
2017-06-01,3.496
2017-07-01,3.558
2017-08-01,3.596
2017-09-01,3.529
2017-10-01,3.521
2017-11-01,3.499
2017-12-01,3.467
2018-01-01,3.405
2018-02-01,3.485
2018-03-01,3.514
2018-04-01,3.588
2018-05-01,3.588
2018-06-01,3.65
2018-07-01,3.664
2018-08-01,3.604
2018-09-01,3.627
2018-10-01,3.721
2018-11-01,3.701
2018-12-01,3.748
2019-01-01,3.642
2019-02-01,3.604
2019-03-01,3.632
2019-04-01,3.608
2019-05-01,3.634
2019-06-01,3.566
2019-07-01,3.499
2019-08-01,3.535
2019-09-01,3.482
2019-10-01,3.529
2019-11-01,3.476
2019-12-01,3.456
2020-01-01,3.448
2020-02-01,3.467
2020-03-01,3.565
2020-04-01,3.5
2020-05-01,3.502
2020-06-01,3.466
2020-07-01,3.408
2020-08-01,3.362
2020-09-01,3.441
2020-10-01,3.422
2020-11-01,3.308
2020-12-01,3.215
2021-01-01,3.291
2021-02-01,3.28
2021-03-01,3.334
2021-04-01,3.247
2021-05-01,3.253
2021-06-01,3.26
2021-07-01,3.233
2021-08-01,3.207
2021-09-01,3.229
2021-10-01,3.158
2021-11-01,3.162
2021-12-01,3.11
2022-01-01,3.195
2022-02-01,3.238
